Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
23510553,Wayne Lopez,3,EH 617-Advanced Field Techniques in Earth Sciences,CL 628-Liquid State Theory,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,HS 649-Public Policy and its Impact Evaluation,MA 624-Partial Differential Equations
23520636,Gianna Ochoa,1,HS 643-Indian and Western Cultural Theory,HS 649-Public Policy and its Impact Evaluation,,,,
23520746,Winston Mata,2,ES 613-Modern Control Theory,HS 632-A Multilingual Nation,,,,
19110804,Lillie Barrett,1,ES 243-Biology for Engineers,MSE 625-Thermodynamics of thin film growth,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,EH 617-Advanced Field Techniques in Earth Sciences,
21520721,Angelo Holmes,4,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,ES 415-Nature-inspired Materials Design,MSE 310-Physics of Materials,
21110964,Bailey Kirk,4,CS 303-Mathematical Foundations for AI,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,ME 636-Fuel Cell and Battery Systems
19510070,Alessandro Wise,4,CL 628-Liquid State Theory,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science,ES 613-Modern Control Theory,
22510816,Mira Day,3,CE 304-Concrete Design,ES 613-Modern Control Theory,MS 404-Neuromarketing,MA 605-Commutative Algebra,CL 628-Liquid State Theory,
19110323,Kayson Brown,1,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,ES 415-Nature-inspired Materials Design,ES 613-Modern Control Theory,
20510435,Charlotte Bean,4,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,
20520162,Mccoy Conway,1,MSE 310-Physics of Materials,CL 628-Liquid State Theory,ES 243-Biology for Engineers,,,
23510671,Ryann Hogan,1,MSE 401-Introduction to Polymer Physics and Processing,CH 401-Food Chemistry,,,,
23510641,Sonny Mayo,3,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences
23520708,Aarya Hunter,2,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,CH 401-Food Chemistry,EH 617-Advanced Field Techniques in Earth Sciences,,
19110646,Archer Bowman,1,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies,,,,
23520213,Fiona Sheppard,3,MSE 310-Physics of Materials,ES 613-Modern Control Theory,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science
22510859,Trent Espinoza,2,ES 613-Modern Control Theory,HS 649-Public Policy and its Impact Evaluation,ME 636-Fuel Cell and Battery Systems,,,
20510236,Lucille Leblanc,2,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,ES 623-Biomolecular Materials Science,EH 617-Advanced Field Techniques in Earth Sciences,ES 413-Deep Learning
20510017,Braden Dodson,4,MSE 401-Introduction to Polymer Physics and Processing,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,MA 624-Partial Differential Equations,CH 401-Food Chemistry,
19520290,Etta Jaramillo,2,CS 303-Mathematical Foundations for AI,ES 243-Biology for Engineers,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,CH 401-Food Chemistry,CE 636-Traffic and Roadway Engineering
23510069,Riggs Aguirre,1,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,,,
22110658,Ariah Morris,3,ES 613-Modern Control Theory,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,MSE 401-Introduction to Polymer Physics and Processing,CS 303-Mathematical Foundations for AI,HS 643-Indian and Western Cultural Theory
22510701,Christian Chan,4,EH 617-Advanced Field Techniques in Earth Sciences,ES 415-Nature-inspired Materials Design,PH 607-Topics in Quantum and Statistical Mechanics,MSE 401-Introduction to Polymer Physics and Processing,CL 628-Liquid State Theory,ME 321-Mechanics of Deformable Bodies
23510697,Hattie Lawrence,4,HS 649-Public Policy and its Impact Evaluation,ES 243-Biology for Engineers,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,MA 605-Commutative Algebra,CL 221-Chemical Engineering Thermodynamics
23110352,Kaleb Stafford,3,CG 506-Experimental Techniques in Cognitive Science,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,,,
19510062,Bridget Sims,1,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers,HS 632-A Multilingual Nation,CG 506-Experimental Techniques in Cognitive Science,,
23520990,Brian Simmons,4,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,
20510626,Reagan Byrd,2,PH 607-Topics in Quantum and Statistical Mechanics,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,,
20510021,Cristian Pruitt,1,ES 415-Nature-inspired Materials Design,HS 649-Public Policy and its Impact Evaluation,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science
23520455,Brylee Chung,4,ES 623-Biomolecular Materials Science,MA 624-Partial Differential Equations,CL 604-Advanced Reaction Engineering,MSE 209-Material Thermodynamics and Kinetics,,
20520199,Ira Raymond,4,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,MSE 625-Thermodynamics of thin film growth,MSE 209-Material Thermodynamics and Kinetics
23520118,Hadlee Curtis,1,ME 321-Mechanics of Deformable Bodies,EH 614-Physics of the Lithosphere,,,,
20510344,Muhammad Cook,4,MSE 310-Physics of Materials,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,
20110881,Aaliyah Solis,2,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,MA 603-Nonlinear Analysis with Applications,HS 632-A Multilingual Nation,CH 401-Food Chemistry
22510364,Ronin Hodges,3,MSE 625-Thermodynamics of thin film growth,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,MSE 310-Physics of Materials,,
22510109,Eve Olson,1,CL 221-Chemical Engineering Thermodynamics,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics,,,
20510078,Malachi McCarty,3,CE 636-Traffic and Roadway Engineering,EH 614-Physics of the Lithosphere,MA 605-Commutative Algebra,,,
19520683,Halo Thomas,1,CL 221-Chemical Engineering Thermodynamics,,,,,
22520178,Logan Castaneda,4,CL 628-Liquid State Theory,MSE 401-Introduction to Polymer Physics and Processing,ES 243-Biology for Engineers,CL 604-Advanced Reaction Engineering,PH 607-Topics in Quantum and Statistical Mechanics,
23110483,Keira Herrera,2,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,PH 607-Topics in Quantum and Statistical Mechanics,MA 624-Partial Differential Equations,,
21510977,River Barker,3,CS 303-Mathematical Foundations for AI,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,MS 404-Neuromarketing,MA 624-Partial Differential Equations
23110225,Remington Lugo,1,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,CE 304-Concrete Design,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry
22520070,Santos Rios,3,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,
23510265,Brooke Ali,1,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,HS 649-Public Policy and its Impact Evaluation,,
20520832,Arjun Waller,3,HS 649-Public Policy and its Impact Evaluation,ME 321-Mechanics of Deformable Bodies,ME 636-Fuel Cell and Battery Systems,HS 643-Indian and Western Cultural Theory,,
21510379,Whitley Leblanc,2,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,ES 623-Biomolecular Materials Science,EH 617-Advanced Field Techniques in Earth Sciences,MSE 401-Introduction to Polymer Physics and Processing,
21510097,Braden Doyle,4,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,PH 607-Topics in Quantum and Statistical Mechanics,ES 613-Modern Control Theory,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory
21110402,Annalise Wilkins,2,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,,,,
21520370,Yusuf Peterson,2,HS 643-Indian and Western Cultural Theory,EH 614-Physics of the Lithosphere,ES 243-Biology for Engineers,ES 413-Deep Learning,,
21510406,Caroline Nielsen,2,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,,,,
23510379,Tru Sloan,4,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,ES 415-Nature-inspired Materials Design,,
23520821,Selene Thomas,4,ME 636-Fuel Cell and Battery Systems,ES 243-Biology for Engineers,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,
19110953,Logan Banks,2,MA 624-Partial Differential Equations,CH 401-Food Chemistry,PH 607-Topics in Quantum and Statistical Mechanics,,,
20510157,Cali Newton,2,EH 614-Physics of the Lithosphere,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,CH 401-Food Chemistry,
19510118,Santino Griffin,2,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,,,,
21110311,Charlie Horn,4,HS 649-Public Policy and its Impact Evaluation,HS 632-A Multilingual Nation,HS 643-Indian and Western Cultural Theory,CL 221-Chemical Engineering Thermodynamics,,
20110051,Wilson Woodard,4,HS 643-Indian and Western Cultural Theory,MA 624-Partial Differential Equations,EH 614-Physics of the Lithosphere,CL 221-Chemical Engineering Thermodynamics,ME 636-Fuel Cell and Battery Systems,MSE 209-Material Thermodynamics and Kinetics
19110267,Aubrie Henry,2,HS 649-Public Policy and its Impact Evaluation,CL 221-Chemical Engineering Thermodynamics,CL 628-Liquid State Theory,MSE 401-Introduction to Polymer Physics and Processing,,
19510913,Carlos Oliver,3,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,,,
21510816,Camille Barajas,1,PH 607-Topics in Quantum and Statistical Mechanics,CH 401-Food Chemistry,MSE 625-Thermodynamics of thin film growth,,,
22110087,Brennan Ventura,1,CL 604-Advanced Reaction Engineering,EH 617-Advanced Field Techniques in Earth Sciences,ES 413-Deep Learning,,,
22110720,Zora Blake,1,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,,
20520272,Zyaire Kerr,2,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,ES 415-Nature-inspired Materials Design,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,MA 605-Commutative Algebra
20110887,Baylee Bruce,4,MA 624-Partial Differential Equations,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,HS 649-Public Policy and its Impact Evaluation
22510869,Uriah Owen,3,MA 605-Commutative Algebra,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,HS 632-A Multilingual Nation,,
21520865,Mikayla Warren,2,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,,
21110758,Abel Garrison,2,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,,,,
19520614,Cadence Mack,2,ES 415-Nature-inspired Materials Design,ES 243-Biology for Engineers,,,,
21510674,Esteban Dudley,3,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,ES 415-Nature-inspired Materials Design,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,CE 304-Concrete Design
23110493,Hadleigh Neal,1,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,EH 614-Physics of the Lithosphere,ES 243-Biology for Engineers,ME 636-Fuel Cell and Battery Systems
19110465,Kane Ray,2,CL 604-Advanced Reaction Engineering,HS 649-Public Policy and its Impact Evaluation,,,,
22510808,Ruth Hancock,1,HS 632-A Multilingual Nation,,,,,
21110656,Rex Thompson,2,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,,,,
23110482,Madison Olsen,1,CL 628-Liquid State Theory,CL 604-Advanced Reaction Engineering,MSE 401-Introduction to Polymer Physics and Processing,ME 321-Mechanics of Deformable Bodies,ES 415-Nature-inspired Materials Design,
21510935,Skyler Mann,1,ES 613-Modern Control Theory,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,,
23510358,Paislee Butler,3,MSE 310-Physics of Materials,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,ES 243-Biology for Engineers,MSE 625-Thermodynamics of thin film growth
19110156,Ryder Santana,1,ES 623-Biomolecular Materials Science,MSE 209-Material Thermodynamics and Kinetics,MSE 625-Thermodynamics of thin film growth,,,
22520473,Myra Goodwin,3,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,ES 243-Biology for Engineers,HS 632-A Multilingual Nation,CH 401-Food Chemistry,
21510547,Kaison Mosley,1,ES 613-Modern Control Theory,ES 623-Biomolecular Materials Science,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,CG 506-Experimental Techniques in Cognitive Science,MSE 310-Physics of Materials
20520109,Zaniyah Larsen,3,ES 613-Modern Control Theory,MSE 310-Physics of Materials,MA 624-Partial Differential Equations,,,
20510440,Brycen Conley,2,PH 607-Topics in Quantum and Statistical Mechanics,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,,,
20110822,Salem Wall,3,CL 604-Advanced Reaction Engineering,CE 304-Concrete Design,MA 624-Partial Differential Equations,ES 243-Biology for Engineers,CH 401-Food Chemistry,HS 649-Public Policy and its Impact Evaluation
22110481,Issac Frost,3,MSE 401-Introduction to Polymer Physics and Processing,EH 614-Physics of the Lithosphere,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,PH 607-Topics in Quantum and Statistical Mechanics,
23510782,Paula Esquivel,4,EH 614-Physics of the Lithosphere,ES 613-Modern Control Theory,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics
20520763,Bridger Bravo,1,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,MA 605-Commutative Algebra
19110222,Amoura Stephens,3,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,ME 636-Fuel Cell and Battery Systems,ES 623-Biomolecular Materials Science,,
19520697,Messiah Combs,3,MSE 625-Thermodynamics of thin film growth,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,ME 636-Fuel Cell and Battery Systems
20520945,Irene Marks,1,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,MSE 625-Thermodynamics of thin film growth,
22510094,Amos Santana,2,MSE 401-Introduction to Polymer Physics and Processing,MA 605-Commutative Algebra,,,,
20520570,Myra Bullock,4,ES 243-Biology for Engineers,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,MSE 625-Thermodynamics of thin film growth,MSE 310-Physics of Materials,
19110436,Ben Harrison,4,CH 401-Food Chemistry,ES 243-Biology for Engineers,MS 404-Neuromarketing,ES 623-Biomolecular Materials Science,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing
19510622,Jasmine Greene,2,CS 303-Mathematical Foundations for AI,HS 643-Indian and Western Cultural Theory,,,,
20520020,Griffin Hebert,4,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,MA 624-Partial Differential Equations,ES 243-Biology for Engineers,
21520825,Kyleigh Hardin,3,PH 607-Topics in Quantum and Statistical Mechanics,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,,
20110668,Hassan Travis,3,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,,
22520869,Mazikee Leach,1,CL 221-Chemical Engineering Thermodynamics,EH 614-Physics of the Lithosphere,CH 401-Food Chemistry,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra
22520981,Westin Reyes,2,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,EH 617-Advanced Field Techniques in Earth Sciences,CS 303-Mathematical Foundations for AI,,
23520954,Audrey Khan,4,CS 303-Mathematical Foundations for AI,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,MA 605-Commutative Algebra,,
19510749,Kendrick Mullins,2,MA 624-Partial Differential Equations,CL 628-Liquid State Theory,PH 607-Topics in Quantum and Statistical Mechanics,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,MA 605-Commutative Algebra
19110868,Maliyah Barrett,1,MS 404-Neuromarketing,ME 636-Fuel Cell and Battery Systems,MSE 401-Introduction to Polymer Physics and Processing,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,
23510429,Angelo Wilson,3,ES 613-Modern Control Theory,PH 607-Topics in Quantum and Statistical Mechanics,MSE 625-Thermodynamics of thin film growth,,,
20510894,Luna King,2,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,,,,
23510802,Julian Arellano,2,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,
19510755,Faye Burch,1,ME 636-Fuel Cell and Battery Systems,ES 623-Biomolecular Materials Science,MA 624-Partial Differential Equations,,,
23510193,Gerald McCoy,2,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,CL 628-Liquid State Theory,,,
20510279,Mckenzie Villalobos,4,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science,,
19520056,Reuben Best,4,CS 303-Mathematical Foundations for AI,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,EH 614-Physics of the Lithosphere,ME 321-Mechanics of Deformable Bodies,MA 624-Partial Differential Equations
19510181,Lexie Stevens,3,CG 506-Experimental Techniques in Cognitive Science,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,,,
20510305,Zachary Richardson,2,ME 636-Fuel Cell and Battery Systems,CE 636-Traffic and Roadway Engineering,EH 617-Advanced Field Techniques in Earth Sciences,,,
23510086,Allison Corona,2,HS 643-Indian and Western Cultural Theory,CL 221-Chemical Engineering Thermodynamics,ES 243-Biology for Engineers,,,
19110716,Darian Kramer,1,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,,,
19520896,Hanna Escobar,3,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra,CL 604-Advanced Reaction Engineering,,,
23510917,Zachariah French,1,HS 643-Indian and Western Cultural Theory,ES 613-Modern Control Theory,EH 614-Physics of the Lithosphere,,,
21510065,Lorelai Trevino,4,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing,CL 604-Advanced Reaction Engineering,ES 243-Biology for Engineers,HS 643-Indian and Western Cultural Theory,
23110847,Jaime Pearson,4,ES 623-Biomolecular Materials Science,CL 221-Chemical Engineering Thermodynamics,CL 628-Liquid State Theory,MSE 625-Thermodynamics of thin film growth,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems
19520694,Kiara Carpenter,4,HS 632-A Multilingual Nation,HS 649-Public Policy and its Impact Evaluation,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics
22110986,Jeremy Hoover,2,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,,
19510767,Virginia Kennedy,2,ME 321-Mechanics of Deformable Bodies,ME 636-Fuel Cell and Battery Systems,CE 624-River Engineering,MSE 310-Physics of Materials,,
20510743,Maxwell Arnold,1,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,,
19510945,Finley Roy,3,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,MA 605-Commutative Algebra,ME 321-Mechanics of Deformable Bodies,
20520818,Marcelo Gonzales,2,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,CE 304-Concrete Design,,,
22510208,Hadley Nava,3,ME 321-Mechanics of Deformable Bodies,EH 614-Physics of the Lithosphere,MSE 209-Material Thermodynamics and Kinetics,,,
23520506,Stefan Martin,2,CE 624-River Engineering,EH 617-Advanced Field Techniques in Earth Sciences,MS 404-Neuromarketing,CL 604-Advanced Reaction Engineering,,
23510492,Mila Peck,2,MSE 625-Thermodynamics of thin film growth,ME 321-Mechanics of Deformable Bodies,CE 304-Concrete Design,MA 603-Nonlinear Analysis with Applications,,
21110690,Yousef Barajas,3,MA 624-Partial Differential Equations,CH 401-Food Chemistry,MA 603-Nonlinear Analysis with Applications,,,
21510363,Keilani Jensen,3,ME 636-Fuel Cell and Battery Systems,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,,
21110569,Cash Hutchinson,1,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,PH 607-Topics in Quantum and Statistical Mechanics,CL 604-Advanced Reaction Engineering,MSE 625-Thermodynamics of thin film growth,
23510094,Jamie Espinosa,3,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,ES 623-Biomolecular Materials Science,,,
20510766,Khalid Glenn,4,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,MA 605-Commutative Algebra,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,
19520299,Blaire Melton,1,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,CG 506-Experimental Techniques in Cognitive Science,MA 603-Nonlinear Analysis with Applications
19510540,Lennon Greer,2,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,
20510007,Reina Compton,1,MA 624-Partial Differential Equations,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,,,
19110070,Abner Reese,2,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,HS 632-A Multilingual Nation,HS 649-Public Policy and its Impact Evaluation,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics
